run_name,is_key_run,note,config_path,metrics_path,num_metric_rows,final_step,train_count,eval_count,best_train_number_step,best_train_number_accuracy,best_train_code_step,best_train_code_accuracy,best_eval_number_step,best_eval_number_accuracy,best_eval_code_step,best_eval_code_accuracy,best_eval_loss_step,best_eval_loss,final_train_number_accuracy,final_train_code_accuracy,final_eval_number_accuracy,final_eval_code_accuracy,final_eval_loss
lf_learned_d8_recon_mse_ste_200_20260621,yes,Learned projector d=8 recon+MSE+STE screen.,runs/lf_learned_d8_recon_mse_ste_200_20260621/config.yaml,runs/lf_learned_d8_recon_mse_ste_200_20260621/metrics.csv,3,200,231,231,100,0.05194805194805195,1,0.06060606060606061,100,0.05194805194805195,100,0.05627705627705628,200,7.956062246710707,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.04329004329004329,7.956062246710707
lf_pca_d2_mse_ste_1000_20260621,no,,runs/lf_pca_d2_mse_ste_1000_20260621/config.yaml,runs/lf_pca_d2_mse_ste_1000_20260621/metrics.csv,1,1,231,231,1,0.017316017316017316,1,0.017316017316017316,1,0.021645021645021644,1,0.025974025974025976,1,8.141040096035251,0.017316017316017316,0.017316017316017316,0.021645021645021644,0.025974025974025976,8.141040096035251
lf_pca_d2_mse_ste_200_20260621,yes,PCA d=2 MSE+STE screen.,runs/lf_pca_d2_mse_ste_200_20260621/config.yaml,runs/lf_pca_d2_mse_ste_200_20260621/metrics.csv,3,200,231,231,200,0.05194805194805195,200,0.05194805194805195,200,0.047619047619047616,200,0.047619047619047616,100,7.630798988012009,0.05194805194805195,0.05194805194805195,0.047619047619047616,0.047619047619047616,7.97966667687222
lf_pca_d4_mse_ste_200_20260621,yes,PCA d=4 MSE+STE screen.,runs/lf_pca_d4_mse_ste_200_20260621/config.yaml,runs/lf_pca_d4_mse_ste_200_20260621/metrics.csv,3,200,231,231,100,0.030303030303030304,100,0.030303030303030304,100,0.03463203463203463,100,0.03463203463203463,200,7.392729123433431,0.030303030303030304,0.030303030303030304,0.030303030303030304,0.030303030303030304,7.392729123433431
lf_pca_d8_mse_ste_200_20260621,yes,PCA d=8 MSE+STE screen.,runs/lf_pca_d8_mse_ste_200_20260621/config.yaml,runs/lf_pca_d8_mse_ste_200_20260621/metrics.csv,3,200,231,231,200,0.03896103896103896,200,0.03896103896103896,200,0.04329004329004329,200,0.04329004329004329,200,7.513244183032544,0.03896103896103896,0.03896103896103896,0.04329004329004329,0.04329004329004329,7.513244183032544
lf_vq_ce_hard_1000_20260621,yes,Hard target-image VQ CE 1000-step run.,runs/lf_vq_ce_hard_1000_20260621/config.yaml,runs/lf_vq_ce_hard_1000_20260621/metrics.csv,6,1000,231,231,1000,0.5194805194805194,1000,0.46320346320346323,1000,0.5021645021645021,1000,0.43722943722943725,1000,1.5214386063736756,0.5194805194805194,0.46320346320346323,0.5021645021645021,0.43722943722943725,1.5214386063736756
lf_vq_ce_hard_200_20260621,yes,Hard target-image VQ CE 200-step screen.,runs/lf_vq_ce_hard_200_20260621/config.yaml,runs/lf_vq_ce_hard_200_20260621/metrics.csv,3,200,231,231,200,0.2597402597402597,200,0.23809523809523808,200,0.27705627705627706,200,0.27705627705627706,200,2.4381798830899326,0.2597402597402597,0.23809523809523808,0.27705627705627706,0.27705627705627706,2.4381798830899326
lf_vq_ce_hard_big_2000_20260622,yes,Hard target-image VQ CE bigger plus-net screen.,runs/lf_vq_ce_hard_big_2000_20260622/config.yaml,runs/lf_vq_ce_hard_big_2000_20260622/metrics.csv,5,2000,231,231,1000,0.6406926406926406,1000,0.5627705627705628,1000,0.6147186147186147,1500,0.5627705627705628,1500,1.071343672739995,0.5844155844155844,0.5411255411255411,0.5800865800865801,0.5194805194805194,1.1197078666645728
lf_vq_ce_hard_lr3e5_from5k_to6k_20260622,yes,Hard target-image VQ CE lower-LR continuation.,runs/lf_vq_ce_hard_lr3e5_from5k_to6k_20260622/config.yaml,runs/lf_vq_ce_hard_lr3e5_from5k_to6k_20260622/metrics.csv,5,6000,231,231,5001,0.7056277056277056,5250,0.6147186147186147,5001,0.6796536796536796,5250,0.5930735930735931,5500,0.9818541286311624,0.6103896103896104,0.5714285714285714,0.6363636363636364,0.5584415584415584,1.0323039169435377
lf_vq_ce_hard_resume5k_20260621,yes,Hard target-image VQ CE 5000-step best number run.,runs/lf_vq_ce_hard_resume5k_20260621/config.yaml,runs/lf_vq_ce_hard_resume5k_20260621/metrics.csv,10,5000,231,231,5000,0.70995670995671,5000,0.5974025974025974,5000,0.6796536796536796,3500,0.5757575757575758,4500,1.0453772085569637,0.70995670995671,0.5974025974025974,0.6796536796536796,0.5627705627705628,1.0662303523067789
